 Is the MS-ISE program STEM certified?,"Yes, the MS-ISE program is a STEM program.
                     ",
" Where should I mail my application materials?
                     "," The application fee, official transcripts, degree certificates, TOEFL scores, visa
                        and financial information, all go to Graduate Admissions and Program Evaluations office.
                     ",/gape
" What are the application fees?
                     "," Please visit the Prospective Students page for the current university application fees.
                     ",http://www.sjsu.edu/gape/prospective_students/
" Can you to look over my application before I submit it?
                     "," Sorry√¢¬Ä¬îI can't help you with putting together your application. Simply submit your
                        application and supply the requested information. If we have questions after receiving
                        your application, we will contact you. It is important that you supply a current email
                        address for that purpose.
                     ",
" I need to know NOW whether you will accept me later, so that I can decide whether
                        I should try applying at a different department or university.
                     "," Unfortunately, we cannot give you a guarantee now that we will admit you later. It
                        is always a good idea to apply at more than one university.
                     ",
" I fulfill all requirements for admission. Am I guaranteed to be accepted?
                     "," Unfortunately, no. When there are more qualified applicants than we have space available
                        in the program, we offer admission to those whom we consider the most promising applicants,
                        until all of the available space is filled.
                     ",
" Should I provide letters of recommendation?
                     "," It is <span class=""null3""> strongly recommended.
                     ",
" Where should letters of recommendation be mailed?
                     "," Either include them, in sealed envelopes, with the documents that you send to the
                        Graduate Admissions office, or, if your recommenders mail them directly, ask that
                        they be mailed to the CS department and not the Graduate Admissions office. The mailing
                        address is:
                     ",
" Is there a special form for recommendation letters?
                     "," Letters <span class=""null3"">must be on university or company stationery and sealed in university or company envelopes.
                     ",
" How can I request a confidential letter of recommendation?
                     "," U.S. law states that you have access to all records in your student file <span class=""null3"">unless you have explicitly waived this right. Recommenders may be more inclined to write
                        candid letters, and those letters may be given more credence, if you do so. In order
                        to waive your right to see your recommendation letters, follow these steps.
                     ",
" Do I need to take the GRE general or Computer Science subject exam?
                     "," Yes, but we recommend that you take the GRE CS Subject test.
                     ",
" What is the GRE CS Subject test?
                     "," GRE general test scores are required for applicants whose BS degree is not from the
                        U.S. GRE Subject test scores are strongly recommended for applicants whose BS degree
                        is not in computer science.
                     ",
" What TOEFL and GRE scores do I need to have to be accepted?
                     "," The GRE CS Subject test is a test developed by the Educational Testing Service to
                        test for undergraduate background in computer science. You can find a sample test
                        at the information page from the ETS.
                     ",http://www.ets.org/gre/subject/about/
" What is the status of my application?
                     "," If you are an international student, you need a TOEFL score of 550 (paper)/213 (computer).
                        This is a requirement of Graduate Admissions. For the GRE test, there are no hard
                        cut-offs. We use the scores to compare and rank candidates.
                     ",
" Did you recently change the admission requirements?
                     "," The department does not give out status information. You can check your status online
                        at MySJSU, using the user ID and password in your confirmation email.
                     ",http://my.sjsu.edu/
" What are my chances of being admitted?
                     "," Admission to the MSCS program is a competitive process. We continually monitor the
                        number of applicants and the number of spaces in the program. We periodically revise
                        our guidelines to give students accurate guidance for submitting successful applications.
                     ",
" I took college courses in (C|C++|Java|Cobol|Perl|Unix|Oracle) programming. Do you
                        consider these courses when evaluating my computer science background?
                     "," Please note that I cannot predict your ""chances"" of being admitted to the program.
                        However, you may find the following guidelines helpful. We are looking for students
                        with a recent BSCS or a related degree. If you meet these criteria, we would like
                        to encourage you to apply. If you have a degree in another computer or information
                        technology related discipline, and we have space in the program, we may admit you
                        conditionally and ask you to enroll in preparatory classes.
                     ",
" I took certification courses in (Novell|Unix|NT) system administration. Can I use
                        them instead of college courses as course equivalencies?
                     "," No.
                     ",
" What is a typical set of computer science courses that you might expect of an applicant?
                     "," No.
                     ",
" Why are you requiring all this coursework? I am an experienced software engineer
                        and shouldn't have to take these academic prerequisites.
                     "," Here are some typical courses. This is not a complete list, but it should give you
                        a flavor of the kind of courses that are typically a part of a BSCS degree.
                     ",
" I am self-taught in computer science, and I don't want to take a lot of undergraduate
                        courses that repeat what I already know. Is there another way to prove my knowledge
                        in computer science?
                     "," You don't need a master's degree to have a successful career in the computer industry.
                        A master's degree is an academic endeavor for those who are interested in the fundamental
                        principles of computer science. We believe that an academic undergraduate background
                        is an appropriate prerequisite for the master's program.
                     ",
" I already took some graduate level computer science courses at another institution
                        or through SJSU's Open University. Can I transfer them into the SJSU MSCS program
                        once I am admitted?
                     "," Take the GRE CS Subject Test
                     ",
" I concluded that I need to take quite a few courses to prepare myself for admission
                       to the MSCS program. Can I be conditionally admitted and take the courses as an MSCS
                        student?
                     "," Yes, but there are three restrictions:
                     ",
" I was accepted with a condition, but I don't like the condition. Can I negotiate
                        to have it waived or changed?
                     "," We may admit students on a conditional basis if the number of fully qualified applicants
                        is less than the available space in the CS program.
                     ",
" I will be completing my undergraduate degree in the same semester in which I submit
                        an application. Is that ok?
                     "," No. The condition is part of our admission offer to you. This is our final offer,
                        and it is not subject to negotiation. If you do not want to fulfill the condition,
                        or you do not think that you are able to, then you should not accept our offer of
                        conditional admission.
                     ",
" I do not have a 4-year Bachelor degree. Can I be admitted to the MSCS program?
                     "," Be sure to clearly indicate that you expect to earn your BS in the current semester.
                        Completing the degree will be a condition for admission. Note that the date that the
                        degree is conferred <em>must</em> be before the first day of classes in the graduate program.
                     ",
" I have a 3-year degree from another country. Can I be admitted to the MSCS program?
                     "," No, a 4-year Bachelor degree is a minimum requirement for admission to the graduate
                        school.
                     ",
" Can I use work experience to fulfill some of the entrance requirements?
                     "," No, a 4-year Bachelor degree is a minimum requirement for admission to the graduate
                        school. However, some students with a 3-year degree have gone on to do one or two
                        more years of post baccalaureate work in computer science. These applicants will be
                        handled on a case by case basis.
                     ",
" The California State University policy states that in unusual cases, the department
                        may make exceptions to the 4-year Bachelor degree requirement. Does your department
                        make these exceptions?
                     "," No, we do not accept experience in the workplace as a substitute for adademic requirements;
                        if you believe that you have learned a great deal of computer science while working
                        you may choose to demonstrate this by taking the GRE subject area test in Computer
                        Science.
                     ",
" My application was rejected, but I disagree. Can I appeal?
                     "," We may make an exception if you can demonstrate a strong background in computer science.
                        We <span class=""null3"">require the GRE CS subject test before considering exceptions. If the GRE CS is not offered
                        for a particular semester, you will need to reapply in a later semester.
                     ",
" My application was rejected. Can I find out why?
                     "," No.
                     ",
" My application was rejected. Can I join the program on a part-time or conditional
                        basis?
                     "," No. We rank applications, and pick the highest ranking ones. For privacy reasons,
                        it is not possible for you to compare your application against others.
                     ",
" My application was rejected by the Graduate Admissions office. Can you intervene
                        on my behalf?
                     "," No. There is no separate part-time program. If we had been able to accept you on
                        a conditional basis, then we would have done so. If your application was rejected,
                        the only way you might be admitted is to reapply.
                     ",
" My application for a previous semester was rejected, but I would like to be reconsidered
                        for the next semester. Can I submit additional materials without reapplying?
                     "," No. The Graduate Admissions office determines whether you fulfill the minimum entrance
                        requirements to join a graduate program at San Jose State University. If the Graduate
                        Admissions office determines that you did not meet those requirements, or that you
                        did not submit required documents in a timely manner, the CS department cannot intervene.
                     ",
" My application was rejected, and I would like to reapply. What can I do to improve
                        my chances?
                     "," No. Your previous application is no longer active. You need to reapply. The department
                        will make an effort to keep letters of recommendations for a semester, so you may
                        not need to resubmit these. The Graduate Admissions office may be able to locate your
                        old transcripts. Check with both offices to see if your old materials are still available.
                     ",
" How can I learn about the various policies and procedures that graduate students
                        need to follow?
                     "," Here are some suggestions:
                     ",
" I was admitted as a conditionally classified student and fulfilled my conditions
                        a long time ago. Why am I still listed as ""conditionally classified""?
                     "," The Graduate Admissions and Program Evaluations office has several important resources
                        on theGraduate Admissions and Program Evaluations web site for prospective and current graduate students
                     ",/gape
" I am currently conditionally classified. How quickly should I obtain ""fully classified
                        status""?
                     "," There isn't anyone who is monitoring your admission conditions and completed courses
                        on your behalf. YOU need to apply for ""fully classified status"". You will be ""fully
                        classified"" after you have completed your conditions AND have applied for change of
                        status. Pick up a form from the department office.
                     ",
" I have been accepted to the program but I won't be able to attend for another semester.
                        Can I defer my acceptance?
                     "," You should obtain that status as quickly as possible, since at least 18 units (6
                        courses) must have been completed AFTER you are fully classified. Here's a handy graph
                        to summarize the unit rules: You need 30 units (10 courses) to graduate, subject to
                        these constraints:
                     ",
" I have already been admitted to the MSCS program and would like help in planning
                        my program of study.
                     "," Unfortunately, you will need to reapply. However, if you inform us that you were
                        accepted <em>in the prior semester,</em> then you need not supply transcripts and letters of recommendations again. You will
                        need to pay the application fee. If more than one semester has passed since your acceptance,
                        you will need to reapply and resubmit all materials.
                     ",
" I already wrote (a master's thesis|a best-selling novel|a letter to my mom). Do I
                        still have to take Technical Writing at SJSU?
                     "," Please see a graduate advisor. Please visit the Computer Science Faculty Advisors page for more information about contacting an advisor.
                     ",http://www.cs.sjsu.edu/fac_staff/listofadv.html
" What happens if my GPA drops to 3.0 or less?
                     "," There are five ways to satisfy the Competency in Written English requirement; these
                        are listed in the requirements document from the GAPE site. If you need to take CS 100W you will also need to take the WST (Writing Skills Test).
                     ",/gape/current_students/completing_masters/index.htm#3 https://testing.sjsu.edu/twst.html
" How do I register when I am on probation?
                     "," If your cumulative GPA is less than 3.0, then you are on probation. If you are on probation, you
                     ",
" What happens if I get a D or F in a class?
                     "," (1) You cannot use that class for graduation. You can repeat it or select another
                        course. (2) Your GPA will suffer, and you'll probably go on probation.
                     ",
" I was put on probation, and now I can't register for classes. What should I do?
                     "," Go to the department office and get a form for removing your registration hold, then
                        go to your advisor to discuss your situation. Your advisor needs to sign the hold
                        form.
                     ",
" I got disqualified from the program. What should I do?
                     "," You can file a petition for reinstatement. Usually, such a petition involves your
                        committing to take a selection of undergraduate (!) courses, to be approved by the
                        graduate coordinator, that (a) more adequately prepares you for graduate study and
                        (b) lifts your cumulative GPThese courses <em>do not</em> count towards your graduate degree.
                     ",
" I would like to take a course from another department. What should I do?
                     ","Before you register, fill out an evaluation form (available in the department office), and attach a syllabus
                        for the course. The graduate coordinator will evaluate the syllabus, or ask a faculty
                        member who is familiar with the subject matter to carry out the evaluation. Courses
                        may be approved as option courses or elective courses, at the discretion of the graduate
                        advisor.
                     ",
" When are your office hours?
                     "," Please see my web page at http://www.sjsu.edu/people/cay.horstmann/. You don't need an appointment--just show up during office hours.
                     ",/people/cay.horstmann/
How often should I see a ChAD advisor?,"Students who are majoring in ChAD should meet with an advisor as soon as possible after entering SJSU or at the latest, during their first semester as a junior at SJSU. Additionally, after completing 85 units, students should meet with an advisor to apply for graduation. Whenever students feel the need for additional advising, they should feel free to make an appointment with the ChAD advisor.",
What is a passing grade in ChAD?,"In ChAD, we encourage students to study carefully and learn the material. Occasionally students do not do well. For courses in our department, we accept grades as low as D- as passing. The one exception is that you must pass with a C or better in ChAD 100W. In regards to GPA, students must have a SJSU Studies, ChAD and overall GPA of 2.0. Students can check their progress report to review their GPA. ",
What are ChAD faculty office hours?,"Faculty office hours are dedicated times for students to have one-on-one discussions with their professors about course-related content or topics related to child and adolescent development. We strongly urge you to take advantage of this resource. For example, if you are having trouble with an class assignment, go talk with the instructor to get advice and assistance. If you did not do well on a graded assignment, talk with your instructor about how you could improve your performance in the class. Sometimes faculty are working on research projects and if you can ask them if there are opportunities for you to be involved with theeir projects. ChAD faculty can also answer questions about the various careers and educational pathways (e.g., graduate school) you can take after graduating from SJSU.",
I need to see a ChAD advisor immediately but all the appointments in the near future are taken. What should I do?,"Occasionally, and only with a compelling reason, students can make appointments for advisement by speaking with the department administrative assistant in SH 201.  Go to the office and discuss your needs with our administrative assistant.",
How do I know whether a course at some other college substitutes for one at SJSU?,"The University maintains a highly informative student information website that will show what equivalent courses are offered at community colleges, CSU campuses, and some other colleges and universities.",
"As a ChAD student, how can I apply for graduation?","Once you have completed 85 units, you can apply for graduation. Make an appointment with the ChAD Advisor. More information regarding graduation application deadlines and procedures can be found on the SJSU Office of the Registrar page.",
How do I declare a major or minor in a world language?,The first step in declaring a major or minor in a world language is to speak with a language advisor who can be found at the following link. An advisor will give you the necessary paperwork and a roadmap of required classes.,https://www.sjsu.edu/wll/student_resources/undergraduate_advisors/index.html
Can I take a world language class even though I am not majoring or minoring in a language?,"Yes, you can take any foreign language class you like, provided you have the necessary skill level. If in doubt, you can consult an advisor and take a placement test. Students are able to waive the unit cap under certain circumstances. Please contact the advisor for more information on this.",
Where can I find the schedule for classes offered this semester?,The scehdule can be found the this link,https://www.sjsu.edu/wll/student_resources/courses_offered/index.html
How do I speak with an advisor?,A list of advisors can be found here or in our department office at Clark Hall 421. You can either drop into their office hours or e-mail them to set up an appointment to meet.,https://www.sjsu.edu/wll/student_resources/undergraduate_advisors/index.html
Where can I find my professor’s office hours?,"A list of faculty office hours can be found here or in our department office at Clark Hall 421. Office hours can also be found on the class syllabus, canvas and faculty pages.",https://www.sjsu.edu/wll/student_resources/faculty_directory/index.html
When and how am I getting my scholarship award money?,"Scholarships recipients info are sent to the Financial Aid office. They will apply it to any outstanding university debts you have and they will reimburse or give you back whatever is left. If you haven’t received your scholarship award, check with the Financial Aid office.",
How many units and classes are required for a language minor? Do I still have to take the same number of classes even though I got some classes waived?,"You can find general information for the program you are interested on our website under the ""Programs"" tab. Specific questions about your situation are best answered by the appropriate major or minor advisor. You can find advisors for every program here.",https://www.sjsu.edu/wll/student_resources/undergraduate_advisors/index.html
Is there any tutoring available for the foreign languages?,"Yes, there are currently tutoring sessions available through Peer Connections for SPAN 1A and SPAN 1B. If you have any questions regarding tutoring, please contact http://peerconnections.sjsu.edu/tutoring/.",
Are there any World Language clubs and Honor Societies?,"El Círculo Hispánico: for more information, like the club on Facebook or contact the faculty advisor, Ruby Ramirez, at ruby.ramirez@sjsu.edu. Le Cercle Français: for more information, like the club on Facebook or email cerclefrancaissjsu@gmail.com. Phi Sigma Iota: for more information on the SJSU chapter, contact the faculty advisor, Ruby Ramirez, at ruby.ramirez@sjsu.edu",
"If you are a language major, are you required to study abroad?","No, but we encourage you to do so -- studying abroad is a rewarding experience that will improve your language skills immensely and give you new insights into the world around you.",
What languages are taught at SJSU?,"Chinese, Filipino/Tagalog, French, German, Hebrew, Italian, Japanese, Portuguese, Spanish, Vietnamese",
I am thinking of getting a Master’s in Spanish. Where can I get more information?,"For more information about the MA program, please contact the Spanish MA advisor. Spanish MA: Dr. Damian Bacich at damian.bacich@sjsu.edu ",
" I have questions regarding the teaching credential, where do I start?","The coordinator and advisor for the single subject credential in a world language is Prof. Anne Jensen. She can be reached via e-mail at anne.jensen@sjsu.edu or in her office CL 408P, contact number is (408)924-4628.",
What is a placement test and how can I take it?,"A placement test can be taken in Chinese, French, German, Japanese, Spanish, and Vietnamese. These tests are used to assist advisors in determining what level course students should enroll in at their ability level. The placement tests are computer based and can be taken during regular business hours Tuesday, Thursday and Friday from 9:00AM - 2:00PM at the Carmen Sigler Media Center in CL 208.",
What is a proficiency test and how can I take it?,Language advisors use proficiency tests to determine if a student is competent enough in a language to satisfy a language requirement. The proficiency exam is more thorough than the placement test and may include written or oral components. Proficiency tests can be scheduled by appointment with a language advisor.,
 Where can I get a permission code?," Permission Codes, or Class Permission Numbers, are required to add a course that indicates Department Consent or Instructor Consent. These codes can be obtained from the appropriate department office or instructor. A permission code is needed after open registration has ended.
                     ",
 How many CR/NCR courses can I take?," Of the units completed for your master's program, 60 percent must be letter-graded coursework. The other 40 percent may be credit/no-credit courses.
                     ",
 Can I take undergraduate classes as a graduate student?," Yes, graduate students may take undergraduate classes. However, lower division
                        (freshman and sophomore) courses numbered 1-99 cannot be used for graduate degree
                        creditandare not included in the GPA computation. For additional assistance and
                        inquires about registration in undergraduate classes, please visit the Registrar.
                     ",
 What is considered a passing grade for graduate students?," You will need to fill out a Retroactive Course Drop form. Retroactive Graduate
                        Petitions also include: Retroactive Add, Drop, or Retroactive Withdrawal. These petitions
                        are available at the Graduate Admissions and Program Evaluations front counter in
                        the Student Services Center. Registrar Services staff process these forms, if you
                        have any questions please contact the Registrar.
                     ",
 How do I drop a course from a previous semester?," You may take one semester off without reapplying to the University. Summer is not
                        considered a semester (example: If you do not register in the Spring, you would need
                        to register the following Fall to maintain your enrollment).
                     ",
 Can I skip a semester?," Leave of absences are handled by the Registrar's office located in the Student
                        Service Center; forms can be obtained from the Registrar.
                     ",
 How can I apply for a leave of absence?," The first thing you should do to sever your ties with the University is contact
                        your graduate advisor and let him or her know that you have chosen to leave their
                        program. If you are currently registered for classes, you will need to submit a withdrawal
                        form. The withdrawal form can be obtained from the Registrar located in the Student Services Center.
                     ",
 How do I drop out from the graduate program?," For more information regarding the reinstatement of disqualified graduate students,
                        please refer to the Registrar's office. Students who wish to be reinstated following disqualification must see their
                        graduate advisor to develop a program of study appropriate to their proposed major
                        for coursework to be taken through San Jos√É¬© State University Extended Studies, Winter
                        Session, or Open University. Courses graded CR/NC are not applicable for reinstatement
                        purposes. The program of study must consist of a minimum of six (6) units per semester
                        of coursework and should contain only upper division (100-level) courses directly
                        related to the student's major. A disqualified student is not permitted to enroll
                        in graduate (200-level) courses. Neither extension courses taken from another institution,
                        nor 400-level courses taken from San Jos√É¬© State University Extended Studies, nor lower-division
                        courses taken from this or any other institution, are appropriate for reinstatement
                        purposes for a post-baccalaureate or graduate student.
                     ",
 I have been disqualified from the University. What do I do now?," Master's or credential students who are active in a graduate program in good academic
                        standing and would like to switch to another program, changing their degree objective,
                        must submit a Change of Program Application to Graduate Admissions and Program Evaluations. This request is evaluated by Graduate
                        Admissions and Programs Evaluations and sent to the graduate advisor for their final
                        decision. All change of programs have to be approved before you can start a new program.
                        The Change ofProgram final decision will be sent to you in the mail.
                     ",
" I am in a graduate program already and would like to switch to another program;
                           how is that possible?"," This is your proposed program. The candidacy lists the courses you have already
                        completed or propose to complete in order to graduate. Please note you must maintain a grade point average of 3.00 in your candidacy courses.
                        You can download the candidacy form from our forms page.
                     ",
 What is the Candidacy Form?," You may apply for candidacy after you have taken nine graded units of coursework
                        within the degree program, have met the Graduate Writing Requirement, and are in Clear
                        Classified standing. Please contact your graduate advisor for more details about the candidacy submission.
                        The graduate advisor will need to review and sign your candidacy before submitting it to Graduate Admissions and Program Evaluations
                     ",
 When should I apply for Candidacy?," Change of classification (from conditional to classified standing) will require
                        approval from your Graduate Advisor prior to submitting the Change of Classification in Master's Program form to the Graduate Admissions and Program Evaluations Office in the Student Services
                        Center.
                     ",
 What is the Competency in Written English and how do I complete it?," Students wishing to graduate must apply through their MySJSU accountby the appropriate
                        deadline posted on our Current Students Page. Students may only apply for graduation once they have advanced to candidacy
                        and received a MySJSU messagewith instructions on how to apply online.
                     ",
 How do I change my status from conditional classified to classified standing?," Graduate Admissions and Program Evaluations will not accept graduation applications
                        past the posted deadline.
                     ",
What is the verification of culminating experience form," Depending upon the department, the culminating experience requirement may be satisfied
                        in a number of ways. Some departments have courses in which you satisfy the culminating
                        experience requirement. When you pass the course, you have met the requirement. Some
                        departments require completion of a master's thesis or project, while in other departments
                        the requirement is met through a final examination. Usually departments submit this
                        form to our office directly and no student intervention is needed. However, it is
                        a good idea for students to follow up with their advisor to make sure that the Verification
                        of Culminating Experience form has been submitted if this form is utilized by the
                        department to document completion of the culminating experience requirement.
                     ",
I have received the message that allows me to apply&nbsp;online for graduation. Where can I find the tutorial for instructions?," You can check your status on My SJSU under ""Other Indicators"" for a Graduation Awarded status message. Our graduation processing timeline is:Spring- late June - early July Fall- Mid January - early February Summer- Mid September - early October
                     ",http://my.sjsu.edu/
 Can I apply for graduation past the deadline?," SJSU holds two Commencement ceremonies per year: May and December. Ceremonies
                        are held by college. For more information on Ceremony Schedules, Guest Tickets, Regalia,
                        Intent to Participate: see: http ://www.sjsu.edu/commencement",
 What is the verification of culminating experience form?," Your diploma will be sent to the diploma address we have on record. You may view
                        or change your diploma address on My SJSU up until your graduation date. Please keep your diploma address current since the
                        post office will not forward diplomas to your new address. The schedule for sending
                        diplomas is the same as the schedule for granting your degree.
                     ",http://my.sjsu.edu/
 When will my degree be granted or posted on my transcript?," To order another diploma copy, submit your request in writing to Graduate Admissions
                        and Program Evaluations. Your request must include your name (also the name on the
                        diploma if it has changed), SJSU ID, the date you graduated and the degree that you
                        received. You must pay a $10.00 fee to the bursar's office before submitting your
                        request. If you have questions, contact the Evaluator for your program.
                     ",
 When is Commencement?," If you do not complete the graduation requirements in the semester that you originally
                        identified on your graduation application, you may reactivate your graduation for
                        a future date. You will need to complete aGraduation Date Change Request and pay
                        a $10.00 fee. Instructions for the date change request can be found here. You must make this requestwithin the same published deadlines as the Application for Award of Master's Degree.
                     ",
 Where and when will my diploma be sent?," Section 40510(b)(2), California Code of Regulations, Title 5, Education, requires
                        that courses for completed master's degree programs be no older than seven years at
                        the time of the awarding of the degree. This means that no more than seven years may
                        elapse between the time the candidate completes the first course in his/her program
                        and the date the candidate actually completes (not registers for) the last item on
                        the program and completes the requirements for the degree. If, after reading the catalog informationon the seven-year time limit, you still have questions regarding the time to complete
                        your degree, email/call the Evaluator listed for your program.
                     ",http://info.sjsu.edu/web-dbgen/narr/schedules/rec-21180.21325.21388.html /gape/about_us/staff/
How do I begin my application?,Please follow the MS Software Engineering application submission process. This web page will answer many of your questions about submitting an application. You should also review the information provided by Graduate Admissions and Program,https://www.sjsu.edu/msse/admissions/index.html
What are the application deadlines?,University admission deadlines are listed at,http://www.sjsu.edu/gape/prospective_students/deadlines/
Do you accept late applications?,At this time we do NOT accept late applications.,
What is the Graduate Admissions and Program Evaluation (GAPE) office?,"Applications are evaluated in a two-step process, first by the GAPE office then the department. The GAPE office administers all graduate admissions. It checks that your applications fulfill the minimum university criteria for admission. It checks your transcripts, degree certificates, TOEFL scores, visa status, and financial information. Currently, GAPE requires an evaluation of your transcripts by World Education Services (WES). Visit the GAPE web site for more information about WES evaluation for SJSU applications. ",
I have questions about providing documents (such as transcripts and degree certificates) and test scores (such as TOEFL and GRE scores). Whom do I contact?,"Documents and test scores should be submitted directly to GAPE. Please see the GAPE web site more information. Please do NOT contact a Computer Engineering department advisor or staff member for help with document submission as they will not be able to help you. If you have issues or questions about submitting documents, please contact GAPE and not the MS Software Engineering Advisor.",
I have questions about the MS Software Engineering program. Whom do I contact?,"Visit http://cmpe.sjsu.edu/content/office-hours and look for the MSSE Advisor. The times and location for advising sessions will be listed. The advising sessions are walk-in, group sessions for current, newly admitted, and prospective students. You do NOT need an appointment. Attending an advising session as a prospective student will allow you to hear from current graduate students as well have questions answered by an advisor. ",
What are the application fees?,"Please check with the application web site, Cal State Apply (http://calstate.edu/apply), for university fees.",
Do I need to submit letters of recommendation with my application?,Letters of Recommendation should NOT be submitted unless requested by the MS Software Engineering graduate advisor.,
"I need to know NOW whether you will accept me later, so that I can decide whether to work on undergraduate prerequisites, or whether I should try applying at a different university.","Unfortunately, we cannot give you a guarantee now that we will admit you later.",
I fulfill all requirements for admission. Am I guaranteed to be accepted?,"Unfortunately, no. When there are more qualified applicants than we have space available in the program, we offer admission to those whom we consider the most promising applicants, until all space is filled. ",
What is an ABET accredited program?,"ABET is the Accreditation Board for Engineering and Technology. It is the official accreditation board for Software Engineering, Computer Engineering, and Computer Science programs in the United States. You will find a list of accredited universities at the ABET web site.",
"I do not have an Computer Science, Software Engineering, or Computer Engineering undergraduate degree but I do have an Engineering or Science degree. Can I be admitted conditionally classified?","Possibly, but you will be assigned prerequisite courses. The prerequisite courses you will be assigned are: CMPE 050 or CS 49J; CMPE 126 or CS 46B; CMPE 138; and CMPE 142.  You can choose to either take these courses or take a subject test. If you take the courses, you must achieve a B grade or better.  The equivalent of the first two prerequisites can be taken at a community college that provides courses that are listed (articulated) in http://artic.sjsu.edu/web-dbgen/artic/all-course-to-course.html. If you take the classes in the Computer Engineering department, the conditions can be cleared with three courses specifically designed for graduate students.  See https://cmpe.sjsu.edu/content/test-new-ms-students for more detail.",
Do I need to demonstrate English proficiency,"If you do not have a degree from a US university, you need to provide a minimum TOEFL score of 550 paper based, 213 computer based, or 80 Internet based. As an alternative, you can submit IELTS scores with a minimum of 7.0. This is a University requirement. Students that submit TOEFL scores lower than the minimum will be denied admission by GAPE and will not be considered for conditional admission. Living or working in the US is NOT a basis for waiving the TOEFL test. ",
Do I need to provide GRE scores to be accepted?,"If you are a graduate of an ABET accredited program at a US university, you do not need to provide GRE scores. If you are not from an ABET accredited program and do not provide GRE scores, your application will be considered after all applications that provide these scores. There is a strong possibility that you will NOT be admitted. We use GRE scores to compare and rank candidates. In general, applications with GRE scores of Q+V < 294 or AW < 3.0 are denied. If you have at least five years of relevant software development professional experience, the GRE requirement can be waived.",
What is the status of my application?,The status of your application can be found on my.sjsu.edu. Please do not contact a Computer Engineering department advisor or staff person to ask the status of your application.,
Did you recently change the admission requirements?,Admission to the MSSE program is a competitive process. We continually monitor the number of applicants and the number of spaces in the program. We periodically revise our guidelines to give students accurate guidance for submitting successful applications.,
What are my chances of being admitted?,"Please note that I cannot predict your ""chances"" of being admitted to the program. However, you may find the following guidelines helpful. We are looking for students with a degrees in Computer Science, Computer Engineering, or Software Engineering. Degrees from an ABET accredited program is an admission plus. Applicants with degrees in other Engineering or Science disciplines are also considered. It is a plus for applicants to have professional experience in the software field. If you meet these criteria, we encourage you to apply.",
"I took certification courses in (such as for CISCO, Novell, Unix, or NT) system administration. Can I use them instead of college courses as course equivalencies?",No.,
I took professional development classes (such as UC Extension). Can I use them instead of college courses as course equivalencies?,No.,
"What is a typical set of computer science, computer engineering, or software engineering courses that you might expect of an applicant?","Here are some typical courses. This is not a complete list, but it should give you a flavor of the kind of courses that are typically a part of a BSSE, BSCmpE, or BSCS degree. 
Data Structures, Java Programming, Database Management Systems, Computer Networks ,Software Engineering, Operating Systems, Software Engineering, Computer Architecture, Computability Theory, Computer Graphics, Graphical User Interface Programming, Object-Oriented Programming, Compiler Design, Analysis of Algorithms, Artificial Intelligence, Parallel Processing, Information Theory, Coding Theory, Cryptography and Computer Security, OO Analysis and Design",
I have already taken some graduate level computer related courses at another institution. Can I transfer them into the SJSU MSSE program once I am admitted?,See this page,https://www.sjsu.edu/msse/faq/applying/credit-transfer/index.html
I already took some graduate courses at SJSU before I was admitted to the MSSE program. Can those courses count towards graduation? ,"Yes, but there are restrictions: 
You can transfer at most 9 units (3 courses). At least 21 units (7 courses) must be taken after admission to the MSSE program.
These courses must not have counted towards any prior degree (""no double dipping"")
The courses must be less than 7 years old.",
I concluded that I need to take quite a few courses to prepare myself for admission to the MSSE program. Can I be conditionally admitted and take the courses as an MSSE student?,We may admit students on a conditional basis if the number of fully qualified applicants is less than the available space in the MSSE program. ,
I will be completing my undergraduate degree in the same semester in which I submit an application. Is that ok?,"For students in the US, yes. Be sure to clearly indicate that you expect to earn your BS in the current semester. Completing the degree will be a condition for admission. For international students, the GAPE office wants to see a degree certificate, so you will need to complete your undergraduate degree before you apply. Note that the date that the degree is conferred must be before the first day of classes in the graduate program. Note that for Indian students, the MS Software Engineering program has an expedited admissions process, and can evaluate an application for admission (and the necessary I-20) as soon as the 7th semester mark-sheet is available.",
 I do not have a 4-year Bachelor degree. Can I be admitted to the MSSE program?,A 4-year Bachelor degree is a minimum requirement for admission to the graduate school. Note that two degrees in the same subject area can be used to meet the minimum degree requirement. For example an applicant from India can use a three-year bachelors degree plus a masters degree to meet the requirement. The degrees must have been completed.,
I don't have a four-year degree or my undergraduate degree is not in Engineering or the Sciences. What can I do to become eligble to application to the the MS Software Engineering program?,"If you do not meet the minimum degree requirements, you should consider a Second Baccalaureate (aka, Post Bac) degree in Software Engineering. Unfortunately, SJSU does not currently admit students pursuing a Second Baccalaureate degree at this time. You may find the equivalent at other universities.",
"The California State University policy states that in unusual cases, the department may make exceptions to the 4-year Bachelor degree requirement. Does your department make these exceptions?",Very rarely. We may make an exception if you can demonstrate a strong background in a computer related field.,
"My application was rejected, but I disagree. Can I appeal?","GAPE does provide an appeal process. However, if you were denied admission due to lack of space, your application rejection is not appealable.",
My application was rejected. Can I find out why?,"No. We rank applications, and pick the highest ranking ones. For privacy reasons, it is not possible for you to compare your application against others.",
My application was rejected. Can I join the program on a part-time or conditional basis?,"No. There is no separate part-time program. If we had been able to accept you on a conditional basis, then we would have done so. If your application was rejected, your only recourse is to reapply.",
