,0
584,i conclud that i need to take quit few cours befor i readi to appli for msse program . can you advis me what cours i should take ? 
585,sjsu academ calendar 
586,sjsu registrar calendar 
587,how do i begin my applic ? 
588,what applic deadlin ? 
589,what gape ( gape ) offic ? 
590,i have question about provid document ( such as transcript and degre certif ) and test score ( such as toefl and gre score ) . whom do i contact ? 
591,i have question about ms SE program . whom do i contact ? 
592,what applic fee ? 
593,do i need to submit letter of recommend with my applic ? 
594,"i need to know now whether you accept me later , so that i can decid whether to work on undergradu prerequisit , or whether i should tri appli at differ univers . "
595,i fulfil all requir for admiss . i guarante to be accept ? 
596,what abet accredit program ? 
597,"i do not have comput scienc , SE , or cmpe undergradu degre but i do have engin or scienc degre . can i be admit condit classifi ? "
598,do i need to demonstr english profici ? 
599,do i need to provid gre score to be accept ? 
600,what statu of my applic ? 
601,did you recent chang admiss requir ? 
602,what my chanc of be admit ? 
603,"i took certif cours in ( such as for cisco , novel , unix , or nt ) system administr . can i use them instead of colleg cours as cours equival ? "
604,i took profession develop class ( such as uc extens ) . can i use them instead of colleg cours as cours equival ? 
605,"what typic set of comput scienc , cmpe , or SE cours that you might expect of applic ? "
606,i have alreadi taken some graduat level comput relat cours at anoth institut . can i transfer them into sjsu msse program onc i admit ? 
607,i alreadi took some graduat cours at sjsu befor i admit to msse program . can those cours count toward graduat ? 
608,i conclud that i need to take quit few cours to prepar myself for admiss to msse program . can i be condit admit and take cours as msse student ? 
609,i be complet my undergradu degre in same semest in which i submit applic . that ok ? 
610,i do not have 4-year bachelor degre . can i be admit to msse program ? 
611,i do n't have four - year degre or my undergradu degre not in engin or scienc . what can i do to becom eligbl to applic to ms SE program ? 
612,"csu polici state that in unusu case , depart may make except to 4-year bachelor degre requir . doe your depart make these except ? "
613,"my applic reject , but i disagre . can i appeal ? "
614,my applic reject . can i find out whi ? 
615,my applic reject . can i join program on part - time or condit basi ? 
616,my applic reject by gape offic . can you interven on my behalf ? 
617,"my applic for previou semest reject , but i like to be reconsid for next semest . can i submit addit materi without reappli ? "
618,"my applic reject , and i like to reappli . what can i do to improv my chanc ? "
619,"i have undergradu degre but it did not provid program , math , scienc , or engin skill i need for ms SE program . what my option ? "
620,how can i learn about variou polici and procedur that graduat student need to follow ? 
621,"how can i get variou form ( such as cpt , opt , transfer of credit ) approv by depart ? "
622,what elig criteria for curricular practic train ( cpt ) ? 
623,"i current condit classifi . how do i reach fulli classifi statu . how quickli should i obtain "" fulli classifi statu "" ? "
624,"i accept with condit ( such as to take certain undergradu cours ) , but i do n't like condit . can i negoti to have it waiv or chang ? "
625,"i admit as condit classifi student and fulfil my condit long time ago . whi i still list as "" condit classifi "" ? "
626,i have been accept to program but i wo n't be abl to attend for anoth semest . can i defer my accept ? 
627,i have alreadi been admit to msse program and like help in plan my program of studi . 
628,"i have alreadi publish master 's thesi , phd dissert , or book or articl sole author by myself . do i still have to take technic write at sjsu ? "
629,i have complet technic write cours in anoth univers ? do i have to take technic write at sjsu ? 
630,i have taken engr 100w or similar cours at anoth csu . do i need to take engr 200w ? 
631,i take class that not part of my program of studi . class count toward my gpa ? 
632,what happen if my gpa drop to 3.0 or less ? 
633,how gpa import for my graduat ? 
634,what happen if i get c- or lower in class ? 
635,"i put on probat , and now i ca n't regist for class . what should i do ? "
636,i got disqualifi from program . what should i do ? 
637,i like to take cours from anoth depart . what should i do ? 
638,how mani cours can i take from other depart ? 
639,what happen if i need to suspend my studi ? 
640,can cmpe 271 be use as elect cours to satisfi my degre requir ? 
641,how do i chang msse special that i wish to pursu ? 
642,what doe student probat and disqualif mean ? 
643,what applic deadlin ? 
644,what applic procedur ? 
645,where do i submit my applic ? 
646,doe cmpe depart offer graduat assistantship to incom or current student ? 
647,i admit thi semest . it possibl for me to start my studi next semest ? 
648,"upon be admit to program , i requir to make appoint with graduat advisor ? "
649,can one of my admiss condit be waiv if i have taken cours in same subject in anoth institut ? 
650,i have to satisfi one or more admiss condit class . how do they affect my gpa ? 
651,"after complet all my admiss condit , do i have to chang my statu from “ condit ” to “ classifi ” immedi ? "
652,how can i regist for class ? 
653,whom do i contact with registr problem ? 
654,do i need advis befor enrol in class ? 
655,"if i first one on wait list for full class , i be given prioriti to be ad to class by instructor ? "
656,"i tri to enrol in class , but enrol ( registr ) system requir department consent . how can i receiv consent ? "
657,"onc add deadlin ha pass , how can i get permiss number ( i.e. , add code ) for class ? "
658,time overlap of two cours prevent me from enrol into either one . what shall i do ? 
659,how late can i add or drop class without penalti ? 
660,"if i drop class now , can i enrol in it next semest ? "
661,i enrol in both cmpe 180d and cmpe 200 or 240 but then fail digit design and microprocessor test . i be penal if i drop cmpe 200 or 240 after semest begin ? 
662,when should i establish or updat my plan ( program ) of studi ? 
663,can i transfer undergradu unit receiv at sjsu ? 
664,can i transfer graduat credit from extens or OU cours of other univers ? 
665,can i transfer graduat credit from non - u. . institut ? 
666,"transfer cours be count as core , special , or elect cours ? "
667,when can i request transfer of cours ? 
668,can i take off - campu cours as part of my degre program ? 
669,i work in silicon valley . it feasibl for me to attend class ? 
670,what differ between master ’s project and master ’s thesi ? 
671,how can i find project or thesi advisor and decid on my project or thesi topic ? 
672,class i take to satisfi my admiss condit be count as part of requir 9 unit for student on f-1 visa ? 
673,cmpe 298i for cpt be count as part of requir 9 unit for student on f-1 visa ? 
674,there ani requir for take cmpe 294 ? 
675,"if i take cmpe 294 and cmpe 295a concurr , what consequ if i fail cmpe 294 ? "
676,"if i can not complet cmpe 295b or cmpe 299b thi semest , what should i do ? "
677,"i ’ ve heard that program be chang to 33 unit . when that happen , and what consequ for new and exist student ? "
678,i admit into differ depart but want to transfer into ms - cmpe program . can i do that ? 
679,program requir have chang sinc i start in msc program . which requir do i need to follow in order to graduat ? 
680,how can i learn about variou polici and procedur that graduat student need to follow ? 
681,"i admit as condit classifi student and fulfil my condit long time ago . whi i still list as "" condit classifi "" ? "
682,i have been accept to program but i wo n't be abl to attend for anoth semest . can i defer my accept ? 
683,i have alreadi been admit to msc program and like help in plan my program of studi . 
684,i alreadi wrote ( master 's thesis|a best - sell novel|a letter to my mom ) . do i still have to take technic write at sjsu ? 
685,what happen if my gpa drop to 3.0 or less ? 
686,how do i regist when i on probat ? 
687,what happen if i get d or f in class ? 
688,"i put on probat , and now i ca n't regist for class . what should i do ? "
689,i got disqualifi from program . what should i do ? 
690,i like to take cours from anoth depart . what should i do ? 
691,when should i fill out my candidaci form ? 
692,when your offic hour ? 
693,how can i get code for classroom door lock ? 
694,which GE cours do i still have to take ? 
695,where can i get four - semest plan ? 
696,how do i chang my major / minor ? 
697,how mani class can i take each semest ? 
698,do i have to take pe in order to complet graduat requir ? 
699,how do i file for graduat ? 
700,"can i take cours from my technolog major ( mi , cmpe , cs , it ) and use it in anoth technolog major ? "
701,how do i know if sjsu ha receiv my transcript ? 
702,how can i find my grade or list of my grade ? 
703,how do i know if sjsu ha accept my class from anoth csu or out of state school ? 
704,i file for graduat and i have question on my graduat worksheet . 
705,how do i regist for class ? 
706,what class do i need to take ? 
707,how can i get list of ge cours ? 
708,how can i get degre progress report to see which ge class i have alreadi complet ? 
709,do i have to take wst ? 
710,what happen to me if i do n't pass wst ? 
711,when should i take wst ? 
712,what sjsu studi cours ? 
713,how do i know if my class transfer from commun colleg ? 
714,if i have pass wst and english 1b can i take sjsu studi cours even if i ' m not junior ? 
715,c- consid pass ? 
716,how can i contact health center ? 
717,how do i make appoin at health center ? 
718,what do i bring to health center ? 
719,inform about immun 
720,requir immun 
721,submit proof of immun 
722,cold and flu inform 
723,after hour emerg care 
724,pay for health center bill 
725,"detail , locat about health care "
726,clinic staff 
727,health center time 
728,health center servic 
729,fee detail 
730,health insur 
731,health insur for F1 student 
732,medic record 
733,on - campu well resourc 
734,regist for fit program 
735,detail about intramur sport 
736,extra - curricular activ 
737,club sport 
738,outdoor adventur 
739,on - campu employ for fit center 
740,contact spartan recreat staff 
741,what do i do if i unabl to log into canva ? 
742,what do i do if i unabl to see present cours on my canva dashboard ? 
743,"i just regist for my cours , whi i unabl to access it on canva ? "
744,how do i allow user to view my eportfolio ? 
745,what to do when you do not see complet cours on your dashboard ? 
746,how long can i access my cours materi from previou semest on canva ? 
747,what do i do if i see ' page not found ' error but previous access ? 
748,how do i host or join zoom meet ? 
749,how can i schedul zoom meet ? 
750,where can i find my zoom record ? 
751,how to set up my zoom account for first time ? 
752,how much do corpor program cost ? 
753,how much do singl degre program cost ? 
754,where off - campu cours held ? 
755,what doe cohort - style mean ? 
756,i work profession in silicon valley . it feasibl for me to attend class ? 
757,i not work profession and do not have ani work experi . off - campu program right fit for me ? 
758,do off - campu program support f-1 student visa ? 
759,what minimum cours load ? 
760,class conduct with onlin learn modal ? 
761,can i transfer credit from other institut or program ? 
762,"institut of higher educ that i attend onli issu summari transcript ( mark sheet ) , but sjsu requir term - by - term transcript . what should i do ? "
763,do i need to attend advis appoint befor enrol in class ? 
764,how do i enrol in class ? 
765,who do i contact with registr problem ? 
766,"due to busi travel or famili emerg , i miss class last semest . what can i do ? "
767,how can i find out textbook select for class ? 
768,what best way to contact graduat & extend studi ' offic ? 
769,where can i obtain more gener inform regard graduat studi ? 
770,i receiv c in cours . do i have to repeat cours ? 
771,what on - probat and disqualif ? 
772,when should i appli to graduat ? 
773,my area of special be list on my degre diploma or transcript ? 
774,my diploma indic that i have studi at off - campu locat ? 
775,separ commenc ceremoni host for main campu and off - campu program ? 
776,my employ ask for degre verif . where do i request thi document ? 
777,statement of purpos requir ? should i send it directli to colleg of engin ? 
778,gre requir ? 
779,doe engin extend studi depart consid gre ? 
780,letter of recommend requir ? 
781,doe engin extend studi depart admit student in spring semest ? 
782,"my applic statu on mysjsu say "" refer "" . what doe that mean ? "
783,my applic say i ’ m miss document . can i send pend document in form of softcopi by scan and email them to colleg of engin ? 
784,where should i send my transcript ? 
785,how do i submit addit item assign on my checklist ? 
786,"institut of higher educ that i attend onli issu summari transcript ( mark sheet ) , but sjsu requir term - by - term transcript . what should i do ? "
787,do i need to be prequalifi befor i can appli for program ? 
788,how much doe it cost to appli to sjsu ? 
789,i miss applic ( or document ) deadlin for upcom cohort . there way for me to take class now and appli for next admiss term later ? 
790,"i admit for fall semest , but unabl to attend . can i defer my admiss ? "
791,i ' m not sure of convers of my intern bachelor 's degre program percentag to gpa . what do i put in gpa field on cal state appli applic ? 
792,doe my bachelor 's degre from non - us institut qualifi me for graduat program at sjsu ? 
793,can i transfer credit from other institut or program ? 
794,i recent admit to on - campu program or my applic withdrawn . can i transfer my applic to off - campu program ? 
795,"i admit to off - campu program , and i think about transfer to on - campu program at sjsu . can i transfer cours i have taken so far to on - campu program ? "
796,what sevp portal ? 
797,who ’s elig to use sevp portal ? 
798,how to creat sevp portal account ? 
799,how to maintain your sevp portal account ? 
800,where can i go to find more inform about sevp portal ? 
801,"i receiv my ead card , but whi have n’t i receiv invit from sevp or have access to employ record in sevp portal ? "
802,what if i have forgotten my password ? 
803,what if my sevp portal account lock ? 
804,"i receiv account creation email , but i did n’t creat sevp portal account and now invit link expir . what should i do ? "
805,i no longer want to use prefer email in mysjsu to receiv commun from sevp . can i request to chang my email address ? 
806,i chang my prefer email in mysjsu . what happen ? 
807,"i enter correct work / home address in portal , but it doe not valid . what should i do ? "
808,can i still use sjsu employ updat report form to report my employ while i ’ m on opt ? 
809,what happen if i have n’t been log into sevp portal account for over 90 day ? 
810,where can i get permiss code ? 
811,how mani cr / ncr cours can i take ? 
812,can i take undergradu class as graduat student ? 
813,what consid pass grade for graduat student ? 
814,how do i drop cours from previou semest ? 
815,can i skip semest ? 
816,how can i appli for leav of absenc ? 
817,how do i drop out from graduat program ? 
818,i have been disqualifi from univers . what do i do now ? 
819,i in graduat program alreadi and like to switch to anoth program ; how that possibl ? 
820,what candidaci form ? 
821,when should i appli for candidaci ? 
822,what compet in written english and how do i complet it ? 
823,how do i chang my statu from condit classifi to classifi stand ? 
824,how do i appli to graduat ? 
825,can i appli for graduat past deadlin ? 
826,what verif of culmin experi form ? 
827,when my degre be grant or post on my transcript ? 
828,when commenc ? 
829,where and when my diploma be sent ? 
830,how do i order anoth copi of my diploma ? 
831,what if i do n't graduat when i suppos to ? 
832,how do i complet my new hire document ? 
833,how can i contact univers personnel ? 
834,how do i request to use my vacat ? 
835,where do i pick up pay check ? 
836,how do i report issu with my stationeri order ? 
837,how much applic fee for intern gateway ? 
838,how much tuition ? 
839,do i need to pay tuition deposit befor i receiv i-20 ? 
840,do i have to provid proof of fund for one year even though i stay in u. . less than one year ? 
841,what i-20 ? 
842,how long doe it take to process my i-20 ? 
843,what should i do after i receiv my i-20 ? 
844,when can i enter u. . ? 
845,what if my visa get deni ? 
846,what type of paperwork do i need to submit in order to hire f-1 student ? 
847,what doe student ’s work author look like ? 
848,when can student work ? 
849,how mani hour per week can student work ? 
850,what e - verifi ? 
851,f-1 student subject to tax ? 
852,can f-1 student work without ead card ? 
853,can student be author for unpaid employ ? 
854,F1 student elig to take ou cours with intern visa ? 
855,transcript and sjsu applic necessari ? 
856,can i add cours after deadlin ? 
857,can i drop my class and receiv refund ? 
858,can i take ou class if i matricul student ? 
859,how do i access my grade ? 
860,how can i pay ? 
861,how can i obtain transcript ? 
862,how do i drop cours ? 
863,how do i know if cours i take through ou count toward my degre / program ? 
864,how do i obtain student i d if i take ou class for first time ? 
865,how do i withdraw from ou class ? 
866,what if course( ) i have select have been cancel ? 
867,what type of scholarship opportun at sjsu ? 
868,"outsid donor or organ be send scholarship check to sjsu . where should check be sent , and how soon money becom avail ? "
869,there other scholarship opportun besid here at sjsu ? 
870,do student have to file fafsa to appli for scholarship ? 
871,can F1 student appli for scholarship ? 
872,can student receiv scholarship payment if enrol through OU ? 
873,resouc about health insur 
874,how do i get or replac librari card ? 
875,how do i reserv group studi room ? 
876,how do i check out ebook ? 
877,how do i request or place hold on item ? 
878,"what differ between bs in comput scienc , bs in cmpe , and bs in SE program ? "
879,inkedin learn free ? 
880,i requir to have linkedin profil to use linkedin learn ? 
881,whi should i connect my linkedin profil to my san jose state linkedin learn account ? 
882,how do i begin my applic for msse ? 
883,what applic deadlin ? 
884,what gape ( gape ) offic ? 
885,i have question about provid document ( such as transcript and degre certif ) and test score ( such as toefl and gre score ) . whom do i contact ? 
886,i have question about ms SE program . whom do i contact ? 
887,what applic fee ? 
888,do i need to submit letter of recommend with my applic ? 
889,do i need to demonstr english profici ? 
890,do i need to provid gre score to be accept ? 
891,what statu of my applic ? 
892,i conclud that i need to take quit few cours to prepar myself for admiss to msse program . can i be condit admit and take cours as msse student ? 
893,i be complet my undergradu degre in same semest in which i submit applic . that ok ? 
894,i do not have 4-year bachelor degre . can i be admit to msse program ? 
895,i do n't have four - year degre or my undergradu degre not in engin or scienc . what can i do to becom eligbl to applic to ms SE program ? 
896,"my applic reject , but i disagre . can i appeal ? "
897,my applic reject . can i join program on part - time or condit basi ? 
898,"i have undergradu degre but it did not provid program , math , scienc , or engin skill i need for ms SE program . what my option ? "
899,i admit thi semest . it possibl for me to start my studi next semest ? 
900,"upon be admit to program , i requir to make appoint with graduat advisor ? "
901,can one of my admiss condit be waiv if i have taken cours in same subject in anoth institut ? 
902,"after complet all my admiss condit , do i have to chang my statu from “ condit ” to “ classifi ” immedi ? "
903,how can i regist for class ? 
904,"i tri to enrol in class , but enrol ( registr ) system requir department consent . how can i receiv consent ? "
905,"if i drop class now , can i enrol in it next semest ? "
906,when should i establish or updat my plan ( program ) of studi ? 
907,can i transfer undergradu unit receiv at sjsu ? 
908,can i transfer graduat credit from extens or OU cours of other univers ? 
909,"transfer cours be count as core , special , or elect cours ? "
910,when can i request transfer of cours ? 
911,i admit into differ depart but want to transfer into ms - cmpe program . can i do that ? 
912,there ani requir for take cmpe 294 ? 
913,cmpe 298i for cpt be count as part of requir 9 unit for student on f-1 visa ? 
914,what requir gpa to chang my major to cmpe and se ? 
915,i current sjsu student and i want to chang my major to se ( or cmpe ) which class should i take ? 
916,doe depart intervin to assist student in enrol in class need for chang of major ? 
917,"i F1 student admit to differ major , how can i chang my major to se ( or cmpe ) ? "
918,what OU ? 
919,what applic deadlin ? 
